group_id	time to abandonment
A01B	2711.5258386219402
A01C	2675.5337591240877
A01D	2809.2830039525693
A01F	2920.870476190476
A01G	2460.330813426066
A01H	2514.005453306067
A01J	3147.9322916666665
A01K	2638.8270641898594
A01L	2542.798387096774
A01M	2596.9056078021595
A01N	2395.5041554020227
A21B	2658.254957507082
A21C	2706.919191919192
A21D	2829.0566600397615
A22B	2671.253918495298
A22C	2610.234496124031
A23B	2780.6772277227724
A23C	2804.290055248619
A23D	2788.755988023952
A23F	2588.2378223495703
A23G	2849.314784859269
A23J	2966.023346303502
A23K	2704.364164086687
A23L	2739.5598017621146
A23N	2336.4483985765123
A23P	2609.3295128939826
A23V	2557.9508196721313
A23Y	2161.135802469136
A24B	2420.9319371727747
A24C	2335.653594771242
A24D	2138.203076923077
A24F	1870.796052631579
A41B	2581.9507772020725
A41C	2480.0472027972028
A41D	2493.4156427221174
A41F	2360.526011560694
A41G	2648.8729641693812
A41H	2742.5
A42B	2504.9905973451328
A42C	2673.5244755244757
A43B	2644.9493729679516
A43C	2475.5302857142856
A43D	2510.5871886120995
A44B	2678.166184971098
A44C	2420.3374726077427
A44D	2455.4646464646466
A45B	2391.983578708947
A45C	2297.602497398543
A45D	2506.128586242655
A45F	2367.2196807243267
A46B	2457.0682063457803
A46D	2524.5450819672133
A47B	2414.4821800027735
A47C	2560.9324376695517
A47D	2517.0513808606293
A47F	2435.1944619257392
A47G	2460.619409143423
A47H	2393.148305084746
A47J	2494.6497051158963
A47K	2483.290771558245
A47L	2636.989984860836
A61B	2736.8578558890085
A61C	2631.424736922373
A61D	2481.7220543806648
A61F	2860.527258714726
A61G	2699.7503716090673
A61H	2405.5876394849784
A61J	2598.668269230769
A61K	2576.508695820834
A61L	2705.5737704918033
A61M	2728.9912963993324
A61N	2840.3715577685193
A61P	2420.355131400017
A61Q	2685.9056813586735
A62B	2668.516954574536
A62C	2506.478196600148
A62D	2794.580221997982
A63B	2593.6488508498924
A63C	2511.532116294794
A63D	2425.6648648648647
A63F	2584.755512634798
A63G	2424.084319526627
A63H	2546.232533219031
A63J	2547.0813953488373
A63K	2438.6279069767443
B01B	2825.009900990099
B01D	2660.4450712250714
B01F	2715.26296111665
B01J	2723.2101023002197
B01L	2701.8146331698526
B02B	2762.3695652173915
B02C	2539.593027269589
B03B	2770.3961456102784
B03C	2565.30625
B03D	2604.6436915887853
B04B	2905.6091370558374
B04C	2622.8251833740833
B05B	2582.703319919517
B05C	2593.2660054102794
B05D	2646.163983526769
B06B	2863.2799188640975
B07B	2761.8003679852804
B07C	2819.453667953668
B08B	2700.9891949152543
B09B	2743.142589118199
B09C	2895.6146393972012
B21B	2669.7213197969545
