country	Patent Number	Latitude	Longitude
Andorra	10	42.546245	1.601554
United Arab Emirates	142	23.424076	53.847818
Afghanistan	1	33.93911	67.709953
Antigua and Barbuda	6	17.060816	-61.796428
Anguilla	4	18.220554	-63.068615
Armenia	23	40.069099	45.038189
Netherlands Antilles	3	12.226079	-69.060087
Angola	8	-11.202692	17.873887
Argentina	485	-38.416097	-63.616672
Austria	4646	47.516231	14.550072
Australia	11077	-25.274398	133.775136
Aruba	2	12.52111	-69.968338
Azerbaijan	19	40.143105	47.576927
Bosnia and Herzegovina	7	43.915886	17.679076
Barbados	13	13.193887	-59.543198
Bangladesh	11	23.684994	90.356331
Belgium	6141	50.503887	4.469936
Bulgaria	89	42.733883	25.48583
Bahrain	5	25.930414	50.637772
Bermuda	31	32.321384	-64.75737
Brunei Darussalam	6	4.535277	114.727669
Bolivia	5	-16.290154	-63.588653
Brazil	1431	-14.235004	-51.92528
Bahamas	76	25.03428	-77.39628
Belarus	70	53.709807	27.953389
Belize	1	17.189877	-88.49765
Canada	26715	56.130366	-106.346771
"Congo, (Kinshasa)"	1	-4.038333	21.758664
Central African Republic	1	6.611111	20.939444
Switzerland	12393	46.818188	8.227512
Chile	243	-35.675147	-71.542969
Cameroon	7	7.369722	12.354722
China	21314	35.86166	104.195397
Colombia	128	4.570868	-74.297333
Costa Rica	74	9.748917	-83.753428
Cuba	38	21.521757	-77.781167
Cyprus	45	35.126413	33.429859
Czech Republic	615	49.817492	15.472962
Germany	82623	51.165691	10.451526
Denmark	4060	56.26392	9.501785
Dominica	1	15.414999	-61.370976
Dominican Republic	18	18.735693	-70.162651
Algeria	8	28.033886	1.659626
Ecuador	22	-1.831239	-78.183406
Estonia	87	58.595272	25.013607
Egypt	184	26.820553	30.802498
Spain	3937	40.463667	-3.74922
Ethiopia	11	9.145	40.489673
Finland	5031	61.92411	25.748151
Fiji	4	-16.578193	179.414413
Faroe Islands	1	61.892635	-6.911806
France	29660	46.227638	2.213749
Gabon	2	-0.803689	11.609444
United Kingdom	29559	55.378051	-3.435973
Grenada	2	12.262776	-61.604171
Georgia	32	42.315407	43.356892
Guernsey	1	49.465691	-2.585278
Ghana	8	7.946527	-1.023194
Gibraltar	2	36.137741	-5.345374
Gambia	2	13.443182	-15.310139
Greece	403	39.074208	21.824312
Guatemala	12	15.783471	-90.230759
Guyana	1	4.860416	-58.93018
"Hong Kong, SAR China"	1573	22.396428	114.109497
Honduras	1	15.199999	-86.241905
Croatia	152	45.1	15.2
Haiti	1	18.971187	-72.285215
Hungary	769	47.162494	19.503304
Indonesia	85	-0.789275	113.921327
Ireland	1981	53.41291	-8.24389
Israel	11361	31.046051	34.851612
Isle of Man	3	54.236107	-4.548056
India	9229	20.593684	78.96288
Iraq	4	33.223191	43.679291
"Iran, Islamic Republic of"	198	32.427908	53.688046
Iceland	125	64.963051	-19.020835
Italy	11510	41.87194	12.56738
Jersey	11	49.214439	-2.13125
Jamaica	21	18.109581	-77.297508
Jordan	36	30.585164	36.238414
Japan	269610	36.204824	138.252924
Kenya	45	-0.023559	37.906193
Kyrgyzstan	1	41.20438	74.766098
Cambodia	1	12.565679	104.990963
Saint Kitts and Nevis	10	17.357822	-62.782998
Korea (North)	4	40.339852	127.510093
Korea (South)	50779	35.907757	127.766922
Kuwait	274	29.31166	47.481766
Cayman Islands	21	19.513469	-80.566956
Kazakhstan	17	48.019573	66.923684
Lebanon	70	33.854721	35.862285
Liechtenstein	106	47.166	9.555373
Sri Lanka	29	7.873054	80.771797
Lithuania	103	55.169438	23.881275
Luxembourg	506	49.815273	6.129583
Latvia	63	56.879635	24.603189
Libya	2	26.3351	17.228331
Morocco	22	31.791702	-7.09262
Monaco	98	43.750298	7.412841
Moldova	11	47.411631	28.369885
Montenegro	3	42.708678	19.37439
Madagascar	1	-18.766947	46.869107
"Macedonia, Republic of"	2	41.608635	21.745275
Mali	5	17.570692	-3.996166
Myanmar	1	21.913965	95.956223
Mongolia	2	46.862496	103.846656
"Macao, SAR China"	12	22.198745	113.543873
Malta	26	35.937496	14.375416
Malawi	1	-13.254308	34.301525
Mexico	989	23.634501	-102.552784
Malaysia	1184	4.210484	101.975766
Niger	7	17.607789	8.081666
Nigeria	13	9.081999	8.675277
Nicaragua	3	12.865416	-85.207229
Netherlands	11807	52.132633	5.291266
Norway	2168	60.472024	8.468946
Nepal	2	28.394857	84.124008
New Zealand	1213	-40.900557	174.885971
Oman	18	21.512583	55.923255
Panama	21	8.537981	-80.782127
Peru	43	-9.189967	-75.015152
French Polynesia	3	-17.679742	-149.406843
Papua New Guinea	1	-6.314993	143.95555
Philippines	209	12.879721	121.774017
Pakistan	74	30.375321	69.345116
Poland	686	51.919438	19.145136
Puerto Rico	1	18.220833	-66.590149
Palestinian Territory	2	31.952162	35.233154
Portugal	239	39.399872	-8.224454
Paraguay	3	-23.442503	-58.443832
Qatar	44	25.354826	51.183884
Réunion	2	-21.115141	55.536384
Romania	209	45.943161	24.96676
Serbia	27	44.016521	21.005859
Russian Federation	2596	61.52401	105.318756
Saudi Arabia	888	23.885942	45.079162
Seychelles	2	-4.679574	55.491977
Sudan	2	12.862807	30.217636
Sweden	9338	60.128161	18.643501
Singapore	3954	1.352083	103.819836
Slovenia	226	46.151241	14.995463
Slovakia	138	48.669026	19.699024
Sierra Leone	2	8.460555	-11.779889
San Marino	1	43.94236	12.457777
Senegal	1	14.497401	-14.452362
El Salvador	6	13.794185	-88.89653
Syrian Arab Republic (Syria)	7	34.802075	38.996815
Swaziland	4	-26.522503	31.465866
Turks and Caicos Islands	14	21.694025	-71.797928
Chad	1	15.454166	18.732207
Thailand	404	15.870032	100.992541
Tokelau	4	-8.967363	-171.855881
Turkmenistan	1	38.969719	59.556278
Tunisia	27	33.886917	9.537499
Turkey	433	38.963745	35.243322
Trinidad and Tobago	18	10.691803	-61.222503
"Taiwan, Republic of China"	53780	23.69781	120.960515
"Tanzania, United Republic of"	5	-6.369028	34.888822
Ukraine	366	48.379433	31.16558
Uganda	1	1.373333	32.290275
United States of America	554820	37.09024	-95.712891
Uruguay	42	-32.522779	-55.765835
Uzbekistan	9	41.377491	64.585262
Venezuela (Bolivarian Republic)	189	6.42375	-66.58973
British Virgin Islands	28	18.420695	-64.639968
"Virgin Islands, US"	1	18.335765	-64.896335
Viet Nam	50	14.058324	108.277199
Vanuatu	1	-15.376706	166.959158
Samoa	1	-13.759029	-172.104629
Yemen	2	15.552727	48.516388
South Africa	972	-30.559482	22.937506
Zambia	3	-13.133897	27.849332
Zimbabwe	9	-19.015438	29.154857
