Group ,Definition
A01B,"Soil Working In Agriculture Or Forestry; Parts, Details, Or Accessories Of Agricultural Machines Or Implements, In General "
A01C,Planting; Sowing; Fertilising 
A01D,Harvesting; Mowing
A01F,Processing Of Harvested Produce; Hay Or Straw Presses; Devices For Storing Agricultural Or Horticultural Produce 
A01G,"Horticulture; Cultivation Of Vegetables, Flowers, Rice, Fruit, Vines, Hops Or Seaweed; Forestry; Watering "
A01H,New Plants Or Processes For Obtaining Them; Plant Reproduction By Tissue Culture Techniques
A01J,Manufacture Of Dairy Products 
A01K,"Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals"
A01L,Shoeing Of Animals
A01M,"Catching, Trapping Or Scaring Of Animals "
A01N,Preservation Of Bodies Of Humans Or Animals Or Plants Or Parts Thereof; Biocides
A21B,Bakers' Ovens; Machines Or Equipment For Baking 
A21C,Machines Or Equipment For Making Or Processing Doughs; Handling Baked Articles Made From Dough
A21D,Treatment
A22B,Slaughtering
A22C,"Processing Meat, Poultry, Or Fish "
A23B,Preserving
A23C,Dairy Products
A23D,Edible Oils Or Fats
A23F,"Coffee; Tea; Their Substitutes; Manufacture, Preparation, Or Infusion Thereof "
A23G,Cocoa; Cocoa Products
A23J,Protein Compositions For Foodstuffs; Working-Up Proteins For Foodstuffs; Phosphatide Compositions For Foodstuffs 
A23K,Fodder
A23L,"Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A23B - A23J; Their Preparation Or Treatment"
A23N,"Machines Or Apparatus For Treating Harvested Fruit, Vegetables Or Flower Bulbs In Bulk, Not Otherwise Provided For; Peeling Vegetables Or Fruit In Bulk; Apparatus For Preparing Animal Feeding- Stuffs "
A23P,"Shaping Or Working Of Foodstuffs, Not Fully Covered By A Single Other Subclass"
A23V,"Indexing Scheme Relating To Foods, Foodstuffs Or Non-Alcoholic Beverages"
A23Y,Indexing Scheme Relating To Lactic Or Propionic Acid Bacteria Used In Foodstuffs Or Food Preparation
A24B,Manufacture Or Preparation Of Tobacco For Smoking Or Chewing; Tobacco; Snuff
A24C,Machines For Making Cigars Or Cigarettes
A24D,Cigars; Cigarettes; Tobacco Smoke Filters; Mouthpieces For Cigars Or Cigarettes; Manufacture Of Tobacco Smoke Filters Or Mouthpieces
A24F,Smokers' Requisites; Match Boxes; Simulated Smoking Devices 
A41B,Shirts; Underwear; Baby Linen; Handkerchiefs
A41C,Corsets; Brassieres
A41D,Outerwear; Protective Garments; Accessories
A41F,Garment Fastenings; Suspenders
A41G,Artificial Flowers; Wigs; Masks; Feathers
A41H,Appliances Or Methods For Making Clothes
A42B,Hats; Head Coverings 
A42C,Manufacturing Or Trimming Hats Or Other Head Coverings
A43B,Characteristic Features Of Footwear; Parts Of Footwear
A43C,Fastenings Or Attachments Of Footwear; Laces In General
A43D,"Machines, Tools, Equipment Or Methods For Manufacturing Or Repairing Footwear"
A44B,"Buttons, Pins, Buckles, Slide Fasteners, Or The Like "
A44C,Jewellery; Bracelets; Other Personal Adornments; Coins
A44D,"Indexing Scheme Relating To Buttons, Pins, Buckles Or Slide Fasteners, And To Jewellery, Bracelets Or Other Personal Adornments"
A45B,Walking Sticks 
A45C,Purses; Luggage; Hand Carried Bags
A45D,Hairdressing Or Shaving Equipment; Manicuring Or Other Cosmetic Treatment 
A45F,Travelling Or Camp Equipment: Sacks Or Packs Carried On The Body
A46B,Brushes 
A46D,Manufacture Of Brushes
A47B,Tables; Desks; Office Furniture; Cabinets; Drawers; General Details Of Furniture 
A47C,Chairs 
A47D,Furniture Specially Adapted For Children 
A47F,"Special Furniture, Fittings, Or Accessories For Shops, Storehouses, Bars, Restaurants Or The Like; Paying Counters"
A47G,Household Or Table Equipment 
A47H,Furnishings For Windows Or Doors 
A47J,Kitchen Equipment; Coffee Mills; Spice Mills; Apparatus For Making Beverages
A47K,Sanitary Equipment Not Otherwise Provided For 
A47L,Domestic Washing Or Cleaning 
A61B,Diagnosis; Surgery; Identification 
A61C,Dentistry; Apparatus Or Methods For Oral Or Dental Hygiene 
A61D,"Veterinary Instruments, Implements, Tools, Or Methods"
A61F,"Filters Implantable Into Blood Vessels; Prostheses; Devices Providing Patency To, Or Preventing Collapsing Of, Tubular Structures Of The Body"
A61G,"Transport, Personal Conveyances, Or Accommodation Specially Adapted For Patients Or Disabled Persons "
A61H,Physical Therapy Apparatus
A61J,Containers Specially Adapted For Medical Or Pharmaceutical Purposes; Devices Or Methods Specially Adapted For Bringing Pharmaceutical Products Into Particular Physical Or Administering Forms; Devices For Administering Food Or Medicines Orally; Baby Comforters; Devices For Receiving Spittle
A61K,"Preparations For Medical, Dental, Or Toilet Purposes "
A61L,"Methods Or Apparatus For Sterilising Materials Or Objects In General; Disinfection, Sterilisation, Or Deodorisation Of Air; Chemical Aspects Of Bandages, Dressings, Absorbent Pads, Or Surgical Articles; Materials For Bandages, Dressings, Absorbent Pads, Or Surgical Articles "
A61M,"Devices For Introducing Media Into, Or Onto, The Body "
A61N,Electrotherapy; Magnetotherapy; Radiation Therapy; Ultrasound Therapy 
A61P,Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations
A61Q,Specific Use Of Cosmetics Or Similar Toilet Preparations
A62B,"Devices, Apparatus Or Methods For Life-Saving "
A62C,Fire-Fighting 
A62D,Chemical Means For Extinguishing Fires Or For Combating Or Protecting Against Harmful Chemical Agents; Chemical Materials For Use In Breathing Apparatus
A63B,"Apparatus For Physical Training, Gymnastics, Swimming, Climbing, Or Fencing; Ball Games; Training Equipment "
