group_id	Group Name	Patent Number
A01B	"Soil Working In Agriculture Or Forestry; Parts, Details, Or Accessories Of Agricultural Machines Or Implements, In General "	3764
A01C	Planting; Sowing; Fertilising 	3335
A01D	Harvesting; Mowing	5877
A01F	Processing Of Harvested Produce; Hay Or Straw Presses; Devices For Storing Agricultural Or Horticultural Produce 	1905
A01G	"Horticulture; Cultivation Of Vegetables, Flowers, Rice, Fruit, Vines, Hops Or Seaweed; Forestry; Watering "	6101
A01H	New Plants Or Processes For Obtaining Them; Plant Reproduction By Tissue Culture Techniques	14027
A01J	Manufacture Of Dairy Products 	815
A01K	"Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals"	12561
A01L	Shoeing Of Animals	103
A01M	"Catching, Trapping Or Scaring Of Animals "	3422
A01N	Preservation Of Bodies Of Humans Or Animals Or Plants Or Parts Thereof; Biocides	12913
A01P	"Biocidal, Pest Repellant, Pest Attractant Or Plant Growth Regulatory Activity Of Chemical Compounds Or Preparations"	2
A21B	Bakers' Ovens; Machines Or Equipment For Baking 	612
A21C	Machines Or Equipment For Making Or Processing Doughs; Handling Baked Articles Made From Dough	794
A21D	Treatment	1254
A22B	Slaughtering	549
A22C	"Processing Meat, Poultry, Or Fish "	1735
A23B	Preserving	1432
A23C	Dairy Products	1693
A23D	Edible Oils Or Fats	1608
A23F	"Coffee; Tea; Their Substitutes; Manufacture, Preparation, Or Infusion Thereof "	938
A23G	Cocoa; Cocoa Products	2396
A23J	Protein Compositions For Foodstuffs; Working-Up Proteins For Foodstuffs; Phosphatide Compositions For Foodstuffs 	776
A23K	Fodder	3407
A23L	"Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A23B - A23J; Their Preparation Or Treatment"	13785
A23N	"Machines Or Apparatus For Treating Harvested Fruit, Vegetables Or Flower Bulbs In Bulk, Not Otherwise Provided For; Peeling Vegetables Or Fruit In Bulk; Apparatus For Preparing Animal Feeding- Stuffs "	669
A23P	"Shaping Or Working Of Foodstuffs, Not Fully Covered By A Single Other Subclass"	1857
A23V	"Indexing Scheme Relating To Foods, Foodstuffs Or Non-Alcoholic Beverages"	7296
A23Y	Indexing Scheme Relating To Lactic Or Propionic Acid Bacteria Used In Foodstuffs Or Food Preparation	519
A24B	Manufacture Or Preparation Of Tobacco For Smoking Or Chewing; Tobacco; Snuff	1178
A24C	Machines For Making Cigars Or Cigarettes	526
A24D	Cigars; Cigarettes; Tobacco Smoke Filters; Mouthpieces For Cigars Or Cigarettes; Manufacture Of Tobacco Smoke Filters Or Mouthpieces	1157
A24F	Smokers' Requisites; Match Boxes; Simulated Smoking Devices 	2868
A41B	Shirts; Underwear; Baby Linen; Handkerchiefs	1195
A41C	Corsets; Brassieres	850
A41D	Outerwear; Protective Garments; Accessories	6206
A41F	Garment Fastenings; Suspenders	875
A41G	Artificial Flowers; Wigs; Masks; Feathers	429
A41H	Appliances Or Methods For Making Clothes	355
A42B	Hats; Head Coverings 	2801
A42C	Manufacturing Or Trimming Hats Or Other Head Coverings	210
A43B	Characteristic Features Of Footwear; Parts Of Footwear	5999
A43C	Fastenings Or Attachments Of Footwear; Laces In General	1648
A43D	"Machines, Tools, Equipment Or Methods For Manufacturing Or Repairing Footwear"	886
A44B	"Buttons, Pins, Buckles, Slide Fasteners, Or The Like "	2812
A44C	Jewellery; Bracelets; Other Personal Adornments; Coins	1809
A44D	"Indexing Scheme Relating To Buttons, Pins, Buckles Or Slide Fasteners, And To Jewellery, Bracelets Or Other Personal Adornments"	351
A45B	Walking Sticks 	996
A45C	Purses; Luggage; Hand Carried Bags	4455
A45D	Hairdressing Or Shaving Equipment; Manicuring Or Other Cosmetic Treatment 	5150
A45F	Travelling Or Camp Equipment: Sacks Or Packs Carried On The Body	3799
A46B	Brushes 	3702
A46D	Manufacture Of Brushes	548
A47B	Tables; Desks; Office Furniture; Cabinets; Drawers; General Details Of Furniture 	8524
A47C	Chairs 	8279
A47D	Furniture Specially Adapted For Children 	1566
A47F	"Special Furniture, Fittings, Or Accessories For Shops, Storehouses, Bars, Restaurants Or The Like; Paying Counters"	4435
A47G	Household Or Table Equipment 	6733
A47H	Furnishings For Windows Or Doors 	451
A47J	Kitchen Equipment; Coffee Mills; Spice Mills; Apparatus For Making Beverages	8705
A47K	Sanitary Equipment Not Otherwise Provided For 	4594
A47L	Domestic Washing Or Cleaning 	9297
A61B	Diagnosis; Surgery; Identification 	146782
A61C	Dentistry; Apparatus Or Methods For Oral Or Dental Hygiene 	8830
A61D	"Veterinary Instruments, Implements, Tools, Or Methods"	909
A61F	"Filters Implantable Into Blood Vessels; Prostheses; Devices Providing Patency To, Or Preventing Collapsing Of, Tubular Structures Of The Body"	55641
A61G	"Transport, Personal Conveyances, Or Accommodation Specially Adapted For Patients Or Disabled Persons "	7428
A61H	Physical Therapy Apparatus	7274
A61J	Containers Specially Adapted For Medical Or Pharmaceutical Purposes; Devices Or Methods Specially Adapted For Bringing Pharmaceutical Products Into Particular Physical Or Administering Forms; Devices For Administering Food Or Medicines Orally; Baby Comforters; Devices For Receiving Spittle	6491
A61K	"Preparations For Medical, Dental, Or Toilet Purposes "	130011
A61L	"Methods Or Apparatus For Sterilising Materials Or Objects In General; Disinfection, Sterilisation, Or Deodorisation Of Air; Chemical Aspects Of Bandages, Dressings, Absorbent Pads, Or Surgical Articles; Materials For Bandages, Dressings, Absorbent Pads, Or Surgical Articles "	24604
A61M	"Devices For Introducing Media Into, Or Onto, The Body "	54401
A61N	Electrotherapy; Magnetotherapy; Radiation Therapy; Ultrasound Therapy 	31677
A61P	Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations	115138
A61Q	Specific Use Of Cosmetics Or Similar Toilet Preparations	15309
A62B	"Devices, Apparatus Or Methods For Life-Saving "	3013
A62C	Fire-Fighting 	2736
A62D	Chemical Means For Extinguishing Fires Or For Combating Or Protecting Against Harmful Chemical Agents; Chemical Materials For Use In Breathing Apparatus	743
A63B	"Apparatus For Physical Training, Gymnastics, Swimming, Climbing, Or Fencing; Ball Games; Training Equipment "	23001
A63C	"Skates; Skis; Roller Skates; Design Or Layout Of Courts, Rinks Or The Like "	1874
A63D	Bowling Games	208
A63F	"Card, Board, Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For"	17719
A63G	Merry-Go-Rounds; Swings; Rocking-Horses; Chutes; Switchbacks; Similar Devices For Public Amusement	1316
A63H	Toys	4064
