country	Patent Number	Latitude	Longitude
Andorra	42	42.546245	1.601554
United Arab Emirates	1022	23.424076	53.847818
Afghanistan	3	33.93911	67.709953
Antigua and Barbuda	16	17.060816	-61.796428
Anguilla	4	18.220554	-63.068615
Albania	10	41.153332	20.168331
Armenia	184	40.069099	45.038189
Netherlands Antilles	4	12.226079	-69.060087
Angola	5	-11.202692	17.873887
Argentina	1578	-38.416097	-63.616672
Austria	20372	47.516231	14.550072
Australia	28075	-25.274398	133.775136
Aruba	11	12.52111	-69.968338
Azerbaijan	14	40.143105	47.576927
Bosnia and Herzegovina	35	43.915886	17.679076
Barbados	58	13.193887	-59.543198
Bangladesh	85	23.684994	90.356331
Belgium	21692	50.503887	4.469936
Bulgaria	835	42.733883	25.48583
Bahrain	53	25.930414	50.637772
Burundi	2	-3.373056	29.918886
Bermuda	49	32.321384	-64.75737
Brunei Darussalam	46	4.535277	114.727669
Bolivia	29	-16.290154	-63.588653
Brazil	5730	-14.235004	-51.92528
Bahamas	97	25.03428	-77.39628
Botswana	1	-22.328474	24.684866
Belarus	284	53.709807	27.953389
Belize	13	17.189877	-88.49765
Canada	107897	56.130366	-106.346771
"Congo, (Kinshasa)"	3	-4.038333	21.758664
Central African Republic	1	6.611111	20.939444
Switzerland	42329	46.818188	8.227512
Côte d'Ivoire	14	7.539989	-5.54708
Chile	756	-35.675147	-71.542969
Cameroon	32	7.369722	12.354722
China	162541	35.86166	104.195397
Colombia	501	4.570868	-74.297333
Costa Rica	435	9.748917	-83.753428
Cuba	98	21.521757	-77.781167
Cape Verde	1	16.002082	-24.013197
Cyprus	205	35.126413	33.429859
Czech Republic	3767	49.817492	15.472962
Germany	230053	51.165691	10.451526
Djibouti	4	11.825138	42.590275
Denmark	16542	56.26392	9.501785
Dominica	3	15.414999	-61.370976
Dominican Republic	64	18.735693	-70.162651
Algeria	21	28.033886	1.659626
Ecuador	77	-1.831239	-78.183406
Estonia	550	58.595272	25.013607
Egypt	598	26.820553	30.802498
Eritrea	4	15.179384	39.782334
Spain	12888	40.463667	-3.74922
Ethiopia	12	9.145	40.489673
Finland	21072	61.92411	25.748151
Fiji	2	-16.578193	179.414413
Faroe Islands	5	61.892635	-6.911806
France	94723	46.227638	2.213749
Gabon	11	-0.803689	11.609444
United Kingdom	110267	55.378051	-3.435973
Grenada	1	12.262776	-61.604171
Georgia	66	42.315407	43.356892
French Guiana	3	3.933889	-53.125782
Guernsey	2	49.465691	-2.585278
Ghana	18	7.946527	-1.023194
Gibraltar	49	36.137741	-5.345374
Greenland	4	71.706936	-42.604303
Gambia	2	13.443182	-15.310139
Guinea	3	9.945587	-9.696645
Guadeloupe	3	16.995971	-62.067641
Greece	1476	39.074208	21.824312
Guatemala	48	15.783471	-90.230759
Guyana	1	4.860416	-58.93018
"Hong Kong, SAR China"	7951	22.396428	114.109497
Honduras	27	15.199999	-86.241905
Croatia	298	45.1	15.2
Haiti	1	18.971187	-72.285215
Hungary	2314	47.162494	19.503304
Indonesia	478	-0.789275	113.921327
Ireland	9813	53.41291	-8.24389
Israel	46706	31.046051	34.851612
Isle of Man	48	54.236107	-4.548056
India	50830	20.593684	78.96288
Iraq	7	33.223191	43.679291
"Iran, Islamic Republic of"	456	32.427908	53.688046
Iceland	668	64.963051	-19.020835
Italy	46633	41.87194	12.56738
Jersey	106	49.214439	-2.13125
Jamaica	77	18.109581	-77.297508
Jordan	173	30.585164	36.238414
Japan	625188	36.204824	138.252924
Kenya	187	-0.023559	37.906193
Kyrgyzstan	1	41.20438	74.766098
Cambodia	7	12.565679	104.990963
Kiribati	1	-3.370417	-168.734039
Saint Kitts and Nevis	3	17.357822	-62.782998
Korea (North)	7	40.339852	127.510093
Korea (South)	222872	35.907757	127.766922
Kuwait	358	29.31166	47.481766
Cayman Islands	167	19.513469	-80.566956
Kazakhstan	76	48.019573	66.923684
Lao PDR	2	19.85627	102.495496
Lebanon	223	33.854721	35.862285
Saint Lucia	3	13.909444	-60.978893
Liechtenstein	712	47.166	9.555373
Sri Lanka	173	7.873054	80.771797
Liberia	1	6.428055	-9.429499
Lithuania	225	55.169438	23.881275
Luxembourg	1448	49.815273	6.129583
Latvia	143	56.879635	24.603189
Libya	2	26.3351	17.228331
Morocco	80	31.791702	-7.09262
Monaco	230	43.750298	7.412841
Moldova	29	47.411631	28.369885
Montenegro	12	42.708678	19.37439
Madagascar	9	-18.766947	46.869107
