,Abandoned_time,Patent Number
0,0.0,3
1,0.1,2
2,0.2,3
3,0.3,1
4,0.4,4
5,0.6,3
6,0.7,5
7,0.8,3
8,0.9,7
9,1.0,6
10,1.1,9
11,1.2,7
12,1.3,12
13,1.4,7
14,1.5,7
15,1.6,14
16,1.7,6
17,1.8,4
18,1.9,5
19,2.0,8
20,2.1,5
21,2.2,13
22,2.3,13
23,2.4,12
24,2.5,10
25,2.6,7
26,2.7,17
27,2.8,14
28,2.9,17
29,3.0,17
30,3.1,10
31,3.2,8
32,3.3,19
33,3.4,25
34,3.5,17
35,3.6,19
36,3.7,16
37,3.8,20
38,3.9,25
39,4.0,20
40,4.1,450850
41,4.2,1087
42,4.3,1068
43,4.4,1382
44,4.5,984
45,4.6,17
46,4.7,19
47,4.8,20
48,4.9,11
49,5.0,17
50,5.1,24
51,5.2,16
52,5.3,28
53,5.4,21
54,5.5,19
55,5.6,17
56,5.7,15
57,5.8,22
58,5.9,20
59,6.0,177
60,6.1,15
61,6.2,649
62,6.3,30
63,6.4,543
64,6.5,23
65,6.6,13
66,6.7,30
67,6.8,9
68,6.9,20
69,7.0,26
70,7.1,15
71,7.2,28
72,7.3,14
73,7.4,9
74,7.5,20
75,7.6,21
76,7.7,23
77,7.8,410
78,7.9,29
79,8.0,23
80,8.1,431989
81,8.2,1666
82,8.3,1120
83,8.4,1160
84,8.5,1259
85,8.6,92
86,8.7,14
87,8.8,14
88,8.9,8
89,9.0,15
90,9.1,9
91,9.2,7
92,9.3,6
93,9.4,4
94,9.5,6
95,9.6,5
96,9.7,3
97,9.8,6
98,9.9,9
99,10.0,6
100,10.1,2
101,10.2,325
102,10.3,1
103,10.4,482
104,10.5,3
105,10.6,1
106,10.7,4
107,10.8,2
108,10.9,2
109,11.0,3
110,11.4,1
111,11.5,1
112,11.6,1
113,11.8,346
114,11.9,1
115,12.1,272994
116,12.2,794
117,12.3,737
118,12.4,603
119,12.5,521
120,12.8,4
121,13.4,1
122,13.8,1
123,13.9,2
124,14.2,1
125,14.4,595
126,14.9,1
127,15.0,5
128,16.2,1
129,16.3,1
130,16.4,1
131,16.7,1
132,17.3,3
133,17.4,14
134,17.5,5
135,17.6,2
