type,title,kind,num_claims,series_code,Patent Number,Application Number,Filing Date,Grant Date,Abandonment Date,Entity Status,Application Status Category,Application Status Date,time to abandonment,abstract,inventor_country,assignee_country
utility,Multilayer ceramic capacitor,B1,2,11,6930876,11043265,1/27/2005,8/16/2005,9/11/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/11/2017,12.07945205,"A multilayer ceramic capacitor 1 having internal electrode layers 3 and internal dielectric layers 2 having thickness of at most 3.5 μm wherein; the internal dielectric layers 2 comprising dielectric particles contacting the internal electrode layers (contacting dielectric particles 2a) and dielectric particles not contacting the internal electrode layers (non-contacting dielectric particles 2b), and when an average particle size of an entire plural number of dielectric particles included in the internal dielectric layers 2 is D50, and standard deviation for particle size range of the contacting dielectric particles is σ, the multilayer ceramic capacitor satisfy the following equations; D50≦0.25 μm and σ≦0.14. According to the present invention, multilayer ceramic capacitor 1 is provided wherein the capacitor is expected to have improved DC bias characteristic even when the internal dielectric layers 2 are made thinner.",CHINA,CHINA
utility,Tube-bending device,B1,14,11,6931908,11036441,1/13/2005,8/23/2005,9/20/2013,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/23/2013,8.090410959,"A tube-bending device including a frame having a reciprocably mounted anvil and a coacting crossbar with tube-restraining blocks, together with a ratchet mechanism for driving the anvil toward the blocks to perform tube-bending operations, wherein the crossbar is reinforced with reinforcing ribs to prevent failure.",UNITED STATES,UNITED STATES
utility,Aerodynamic guiding arrangements for vehicles,B1,9,11,6932419,11048902,2/3/2005,8/23/2005,9/21/2009,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/21/2009,4.082191781,"An aerodynamic guiding arrangement for a vehicle that includes a forward gap enclosure with an upper element and a lower element. The gap enclosure is configured to be positioned and attached proximate a forward end of the vehicle. The guiding arrangement includes a gap closure mechanism for automatically moving the forward gap enclosure from an open position to a closed position, and from a closed position to an open position, based on speed of the vehicle. Another aerodynamic guiding arrangement includes a windscreen with a top, a bottom, and a center of curvature. The windscreen curves smoothly rearward with increasing distance from a central plane, and has a reverse slope such that over a majority of the windscreen the top is farther from the center of curvature than the bottom.",UNITED STATES,UNITED STATES
utility,Foldable bench,B1,9,11,6932425,11062372,2/22/2005,8/23/2005,9/21/2009,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/21/2009,4.082191781,"A foldable bench includes a first leg frame having a first cross bar, a second leg frame connected pivotally to and intersecting the first leg frame and having a second cross bar, a backrest frame connected pivotally to and extending upwardly and rearwardly from a top end of the second leg frame, left and right toggle mechanisms, each being stretchable to move the leg frames to an unfolded position and being foldable to permit the leg frames to move to a folded position, an upper frame connected to a top end of the first leg frame proximate to the first cross bar and to a top end of the backrest frame, a supporting rod having a bottom insert end releasable from the second cross bar, and a flexible seat cushion assembly mounted on the upper frame and the first cross bar.",JAPAN,JAPAN
utility,"Connector equipped with dust-proof arrangement, and a set of dust-proof hoods for connector",B2,9,11,6932630,11027947,1/4/2005,8/23/2005,9/20/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/23/2013,8.090410959,"In a dust-proof connector for an electronic unit detachably provided in an electronic apparatus in which an air-stream is produced in the apparatus to cool an interior thereof, the connector includes a first type connector half provided on the electronic unit and having a first array of electrical contacts, and a second type connector half provided in the apparatus and having a second array of electrical contacts. First and second dust-proof hoods are associated with the first and second connector half, and are formed of a suitable elastic material. The first hood is configured to block off the air-stream to thereby protect the first array from penetration of dust in the air-stream, and the second hood is configured to block off the air-stream to thereby protect the second array from penetration of dust in the air-stream. The first and second hoods cooperate with each other to be elastically deformed so as not to hinder establishment of a connection between the first and second arrays when the connector halves are connected to each other.",UNITED STATES,UNITED STATES
utility,Card connector capable of locking/unlocking card,B1,9,11,6932632,11046839,2/1/2005,8/23/2005,9/18/2017,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/18/2017,12.07945205,"A card connector capable of locking/unlocking an electronic card is comprised of a shell and at least one locking member. The shell includes a receiving space inside, at least one slidable member mounted in the receiving space, and a spring mounted between the slidable guide member and the shell. The locking member includes an elastic piece mounted on said shell and a hook-like piece mounted to a distal end of the elastic piece. Accordingly, while the card is inserted into the card connector, the card can be locked by the locking member by that the hook-like piece securely hooks an external side of the card or unlocked by that the hook-like piece is pushed aside to enable the spring to push the slidable guide member to further push the card outwards for extraction.",JAPAN,JAPAN
utility,Semiconductor processing reactive precursor valve assembly,B2,14,11,6935372,11034015,1/11/2005,8/30/2005,9/27/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/30/2013,8.090410959,"The invention includes chemical vapor deposition methods, including atomic layer deposition, and valve assemblies for use with a reactive precursor in semiconductor processing. In one implementation, a chemical vapor deposition method includes positioning a semiconductor substrate within a chemical vapor deposition chamber. A first deposition precursor is fed to a remote plasma generation chamber positioned upstream of the deposition chamber, and a plasma is generated therefrom within the remote chamber and effective to form a first active deposition precursor species. The first species is flowed to the deposition chamber. During the flowing, flow of at least some of the first species is diverted from entering the deposition chamber while feeding and maintaining plasma generation of the first deposition precursor within the remote chamber. At some point, diverting is ceased while feeding and maintaining plasma generation of the first deposition precursor within the remote chamber. Other aspects and implementations are contemplated.",UNITED STATES,UNITED STATES
utility,Microelectromechanical fluid ejection device,B2,15,11,6935725,11026017,1/3/2005,8/30/2005,9/27/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/30/2013,8.090410959,In order to provide a very high printing resolution a microelectromechanical fluid ejection device is provided. The device includes a plurality of thermal fluid ejection assemblies formed upon a common wafer substrate by means of integrated circuit fabrication processes. Each of the assemblies includes a nozzle chamber covered by a roof into which an ink ejection port is formed. An electrically activated thermal actuator mechanism is formed on the wafer having a free end that extends into the nozzle chamber in order to cause ejection of ink contained in the chamber through the port during use. Heat sinks are provided on the thermal actuator mechanism to avoid performance failure due to overheating.,UNITED STATES,UNITED STATES
utility,"Semiconductor device, optoelectronic board, and production methods therefor",B2,9,11,6936808,11076991,3/11/2005,8/30/2005,9/25/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,9/25/2017,12.07945205,"The semiconductor device of the present invention comprises an optical transmission region, and a light receiving part for converting light propagating through the optical transmission region to an electrical signal, wherein the optical transmission region comprises a two-dimensional optical waveguide layer, and wherein at least a portion of the light receiving part is embedded in the optical transmission region, whereby the present invention can provide a semiconductor device having reduced direction dependency when light propagating through the optical transmission region is received.",JAPAN,JAPAN
utility,Sink and faucet support assembly,B1,7,11,6938283,11065658,2/25/2005,9/6/2005,10/4/2013,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/7/2013,8.090410959,"A sink and faucet support assembly includes a housing that has a bottom wall, a top wall and a peripheral wall attached to and extending between the top and bottom walls. The peripheral wall includes a front wall, a first side wall and a second side wall. A back side of the housing is open. The top wall has an opening extending therethrough. A sink apparatus includes a bowl portion and a base that has a shape adapted for being positioned in the opening. The bowl portion has a drain opening therein extending through the base. A ledge is attached to an upper edge of the bowl portion. A faucet apparatus is mounted on the ledge. A water supply is fluidly coupled to the ledge. A drainpipe extends into the housing through the back side and is fluidly coupled to the drain opening.",UNITED STATES,UNITED STATES
