group_id	Patent Number
A01B	787
A01C	668
A01D	1533
A01F	302
A01G	2334
A01H	1171
A01J	233
A01K	7702
A01L	84
A01M	1600
A01N	4099
A21B	272
A21C	333
A21D	487
A22B	232
A22C	636
A23B	461
A23C	542
A23D	386
A23F	204
A23G	947
A23J	329
A23K	929
A23L	3844
A23N	227
A23P	510
A23V	1272
A23Y	79
A24B	98
A24C	224
A24D	174
A24F	400
A41B	552
A41C	372
A41D	2358
A41F	296
A41G	241
A41H	122
A42B	1154
A42C	133
A43B	1876
A43C	508
A43D	199
A44B	995
A44C	841
A44D	98
A45B	703
A45C	2469
A45D	2624
A45F	1781
A46B	1571
A46D	149
A47B	3703
A47C	3607
A47D	938
A47F	2114
A47G	4150
A47H	224
A47J	3854
A47K	2203
A47L	3197
A61B	27631
A61C	2844
A61D	293
A61F	13970
A61G	2777
A61H	2463
A61J	1673
A61K	44967
A61L	6625
A61M	11015
A61N	7168
A61P	47576
A61Q	5104
A62B	1113
A62C	775
A62D	381
A63B	11327
A63C	1625
A63D	277
A63F	4448
A63G	410
A63H	2616
A63J	154
A63K	40
B01B	99
B01D	12652
B01F	3096
B01J	12708
B01L	3472
B02B	50
B02C	1171
B03B	291
B03C	953
B03D	248
B04B	370
B04C	296
B05B	3892
B05C	1629
B05D	2292
B06B	704
B07B	474
B07C	691
B08B	2841
B09B	424
B09C	543
B21B	595
B21C	678
B21D	2357
B21F	245
B21G	31
B21H	155
B21J	584
B21K	472
B21L	69
B22C	481
B22D	1583
B22F	2120
B23B	1808
B23C	547
B23D	1436
B23F	121
B23G	109
B23H	463
B23K	5726
B23P	1866
B23Q	2341
B24B	4121
B24C	364
B24D	1025
B25B	3898
B25C	803
B25D	483
B25F	897
B25G	854
B25H	1230
B25J	1732
B26B	1100
B26D	1335
B26F	634
B27B	629
B27C	260
B27D	75
B27F	209
B27G	257
B27H	26
B27J	17
B27K	176
B27L	127
B27M	221
B27N	289
B28B	771
B28C	190
B28D	644
B29B	1405
B29C	12841
B29D	2480
B29K	4306
B29L	5354
B30B	891
B31B	669
B31C	23
B31D	217
B31F	325
B32B	7482
B33Y	1316
B41B	7
B41C	1034
B41D	6
B41F	2124
B41G	7
B41J	15567
B41K	104
B41L	100
B41M	2984
B41N	522
B41P	654
B42B	171
B42C	812
B42D	1429
B42F	613
B42P	453
B43K	945
B43L	491
B43M	262
B44B	132
B44C	1134
B44D	507
B44F	406
B60B	1514
B60C	3165
B60D	873
B60F	84
B60G	2184
B60H	1744
B60J	3013
B60K	6687
B60L	3739
B60M	95
B60N	4734
B60P	2410
B60Q	3081
B60R	12799
B60S	1358
B60T	3656
B60V	63
B60W	3914
B60Y	1139
B61B	223
B61C	122
B61D	527
B61F	185
B61G	67
B61H	84
B61J	28
B61K	132
B61L	386
B62B	2309
B62C	7
B62D	7100
B62H	365
B62J	1711
B62K	2675
B62L	277
B62M	1432
B63B	3749
B63C	986
B63G	369
B63H	1837
B63J	258
B64B	151
B64C	2123
B64D	2155
B64F	593
B64G	748
B65B	3739
B65C	439
B65D	11388
B65F	738
B65G	4081
B65H	7534
B66B	1018
B66C	989
B66D	443
B66F	1164
B67B	398
B67C	316
B67D	1308
B68B	72
B68C	131
B68F	1
B68G	44
B81B	1823
B81C	1817
B82B	139
B82Y	15548
C01B	6341
C01C	226
C01D	204
C01F	599
C01G	1604
C01P	2766
C02F	5396
C03B	1731
C03C	3416
C04B	5171
C05B	77
C05C	100
C05D	148
C05F	422
C05G	197
C06B	438
C06C	115
C06D	158
C06F	2
C07B	2272
C07C	16635
C07D	30442
C07F	5323
C07G	52
C07H	3076
C07J	632
C07K	21427
C08B	1026
C08C	362
C08F	7377
C08G	9246
C08H	226
C08J	4571
C08K	6270
C08L	9123
C09B	1978
C09C	1008
C09D	7679
C09F	16
C09G	551
C09H	11
C09J	2452
C09K	7406
C10B	345
C10C	52
C10F	6
C10G	2745
C10H	2
C10J	491
C10K	279
C10L	1460
C10M	1098
C10N	939
C11B	627
C11C	537
C11D	3513
C12C	124
C12F	23
C12G	80
C12H	84
C12J	9
C12L	3
C12M	1207
C12N	19144
C12P	4406
C12Q	9143
C12R	712
C12Y	2307
C13B	82
C13K	149
C14B	35
C14C	105
C21B	374
C21C	364
C21D	1096
C22B	1290
C22C	2678
C22F	460
C23C	9388
C23D	17
C23F	904
C23G	363
C25B	786
C25C	389
C25D	2000
C25F	294
C30B	2491
C40B	1565
D01B	38
D01C	13
D01D	596
D01F	1180
D01G	297
D01H	315
D02G	409
D02H	29
D02J	124
D03C	124
D03D	659
D03J	59
D04B	768
D04C	137
D04D	59
D04G	20
D04H	1040
D05B	563
D05C	231
D05D	87
D06B	196
D06C	178
D06F	1976
D06G	16
D06H	60
D06J	9
D06L	233
D06M	1037
D06N	379
D06P	496
D06Q	82
D07B	268
D10B	643
D21B	160
D21C	623
D21D	175
D21F	1012
D21G	485
D21H	1499
D21J	63
E01B	336
E01C	1065
E01D	279
E01F	836
E01H	667
E02B	887
E02C	9
E02D	1376
E02F	1815
E03B	434
E03C	1122
E03D	791
E03F	596
E04B	2858
E04C	1521
E04D	1220
E04F	2549
E04G	1306
E04H	2925
E05B	3672
E05C	1130
E05D	1794
E05F	1890
E05G	146
E05Y	3009
E06B	2705
E06C	602
E21B	8067
E21C	329
E21D	321
E21F	144
F01B	461
F01C	820
F01D	3845
F01K	900
F01L	3027
F01M	1104
F01N	4085
F01P	1189
F02B	5584
F02C	1987
F02D	7611
F02F	1188
F02G	537
F02K	801
F02M	7248
F02N	1055
F02P	1011
F03B	985
F03C	96
F03D	1978
F03G	820
F03H	90
F04B	3749
F04C	1875
F04D	3443
F04F	314
F05B	2339
F05C	563
F05D	3553
F15B	2076
F15C	162
F15D	182
F16B	4238
F16C	4997
F16D	5047
F16F	2999
F16G	731
F16H	9024
F16J	1777
F16K	4793
F16L	4595
F16M	2641
F16N	361
F16P	203
F16S	2
F16T	22
F17B	4
F17C	1136
F17D	288
F21H	6
F21K	1945
F21L	953
F21S	4522
F21V	7921
F21W	2223
F21Y	4973
F22B	498
F22D	49
F22G	43
F23B	53
F23C	682
F23D	950
F23G	553
F23H	35
F23J	493
F23K	235
F23L	378
F23M	302
F23N	569
F23Q	407
F23R	808
F24B	216
F24C	1054
F24D	511
F24F	2783
F24H	744
F24J	1
F24S	1341
F24T	130
F24V	181
F25B	3037
F25C	497
F25D	2315
F25J	462
F26B	1010
F27B	802
F27D	909
F27M	14
F28B	99
F28C	118
F28D	3125
F28F	3046
F28G	123
F41A	1775
F41B	1213
F41C	714
F41F	182
F41G	1011
F41H	1275
F41J	281
F42B	1974
F42C	334
F42D	281
G01B	5186
G01C	5046
G01D	3711
G01F	3013
G01G	1080
G01H	555
G01J	4004
G01K	1730
G01L	3195
G01M	3073
G01N	32418
G01P	2290
G01Q	982
G01R	16666
G01S	7981
G01T	1865
G01V	3099
G01W	247
G02B	33814
G02C	1767
G02F	13322
G03B	8545
G03C	1853
G03D	372
G03F	12132
G03G	13444
G03H	1124
G04B	587
G04C	247
G04D	42
G04F	409
G04G	583
G04R	137
G05B	5396
G05D	2789
G05F	1567
G05G	1061
G06C	21
G06E	65
G06F	108226
G06G	160
G06J	22
G06K	18563
G06M	109
G06N	2454
G06Q	26439
G06T	15441
G07B	781
G07C	3029
G07D	1522
G07F	6773
G07G	623
G08B	4846
G08C	1033
G08G	2718
G09B	3337
G09C	207
G09D	41
G09F	4675
G09G	11659
G10B	3
G10C	144
G10D	1231
G10F	58
G10G	392
G10H	1702
G10K	1148
G10L	4732
G11B	33964
G11C	18477
G12B	34
G16B	1045
G16C	225
G16H	3644
G16Y	4
G16Z	441
G21B	58
G21C	551
G21D	107
G21F	509
G21G	149
G21H	39
G21J	1
G21K	1228
G21Y	1
H01B	2682
H01C	867
H01F	5056
H01G	3337
H01H	6505
H01J	14240
H01K	364
H01L	85712
H01M	11899
H01P	2377
H01Q	7913
H01R	17942
H01S	6349
H01T	622
H02B	516
H02G	3128
H02H	1665
H02J	5919
H02K	7929
H02M	6375
H02N	1341
H02P	3141
H02S	1122
H03B	1223
H03C	446
H03D	1120
H03F	4626
H03G	1729
H03H	3496
H03J	734
H03K	8659
H03L	3539
H03M	6741
H04B	20775
H04H	2431
H04J	5358
H04K	485
H04L	64349
H04M	18078
H04N	50233
H04Q	4832
H04R	5331
H04S	766
H04W	27254
H05B	9320
H05C	42
H05F	80
H05G	502
H05H	1032
H05K	21087
Y02A	8068
Y02B	8010
Y02C	1122
Y02D	7302
Y02E	27274
Y02P	16989
Y02T	16357
Y02W	3382
Y04S	1450
Y10S	62965
Y10T	101186
