country	Patent Number
AD	10
AE	142
AF	1
AG	6
AI	4
AM	23
AN	3
AO	8
AP	3
AR	485
AT	4646
AU	11077
AW	2
AZ	19
BA	7
BB	13
BD	11
BE	6141
BF	4
BG	89
BH	5
BJ	1
BM	31
BN	6
BO	5
BR	1431
BS	76
BY	70
BZ	1
CA	26715
CD	1
CF	1
CH	12393
CL	243
CM	7
CN	21314
CO	128
CR	74
CS	32
CU	38
CY	45
CZ	615
DD	11
DE	82623
DK	4060
DM	1
DO	18
DT	41
DZ	8
EC	22
EE	87
EG	184
EN	5
ES	3937
ET	11
FI	5031
FJ	4
FO	1
FR	29660
GA	2
GB	29559
GD	2
GE	32
GG	1
GH	8
GI	2
GM	2
GR	403
GT	12
GY	1
HK	1573
HN	1
HR	152
HT	1
HU	769
ID	85
IE	1981
IL	11361
IM	3
IN	9229
IO	1
IQ	4
IR	198
IS	125
IT	11510
JA	7
JE	11
JM	21
JO	36
JP	269610
KE	45
KG	1
KH	1
KN	10
KP	4
KR	50779
KW	274
KY	21
KZ	17
LB	70
LI	106
LK	29
LT	103
LU	506
LV	63
LY	2
MA	22
MC	98
MD	11
ME	3
MG	1
MK	2
ML	5
MM	1
MN	2
MO	12
MP	2
MT	26
MW	1
MX	989
MY	1184
NE	7
NF	1
NG	13
NI	3
NL	11807
NO	2168
NP	2
NZ	1213
OM	18
PA	21
PE	43
PF	3
PG	1
PH	209
PK	74
PL	686
PR	1
PS	2
PT	239
PW	1
PY	3
QA	44
RE	2
RO	209
RS	27
RU	2596
SA	888
SC	2
SD	2
SE	9338
SG	3954
SI	226
SK	138
SL	2
SM	1
SN	1
SU	55
SV	6
SW	4
SY	7
SZ	4
TC	14
TD	1
TH	404
TK	4
TM	1
TN	27
TR	433
TT	18
TW	53780
TZ	5
UA	366
UG	1
US	554820
UY	42
UZ	9
VA	1
VE	189
VG	28
VI	1
VN	50
VU	1
WS	1
XH	1
YE	2
YU	48
ZA	972
ZM	3
ZW	9
un	2
